id,word_en,word_fr,example_en
8751,festivals,"festivals, fêtes","She attended many very important and very distinguished literary festivals throughout her long career."
8752,extremities,"extrémités, fins, pointes","She had explored the very most extreme extremities of human experience in all her finest work."
8753,shortest,"le plus court, le plus bref","She always found that the very shortest and the very clearest sentence was the very best."
8754,brutes,"brutes, êtres brutaux","She wrote about the very unfortunate brutes of the literary world with dark humour and compassion."
8755,abnormal,"anormal, inhabituel","She found the very abnormal and the very bizarre aspects of human nature the most fascinating."
8756,timely,"opportun, à propos, en temps voulu","She made a very timely and very brilliant intervention in the very most important creative debate."
8757,consistency,"cohérence, constance, régularité","She maintained an extraordinary consistency of very high quality throughout her entire remarkable career."
8758,unbounded,"illimité, sans bornes, infini","She had an absolutely unbounded enthusiasm for every very new and very challenging creative project."
8759,catches,"attrape, saisit, piège, attrape","She always catches the very most important and most revealing detail that others miss completely."
8760,inhabitant,"habitant, résident","She had been a very faithful inhabitant of the same very quiet old village for decades."
8761,reddish,"rougeâtre, roussâtre","She loved the very beautiful reddish glow of the old bricks in the warm afternoon sunlight."
8762,descends,"descend, provient","Her work descends from the very greatest and most important literary tradition of her culture."
8763,canopy,"baldaquin, voûte, canopée","She loved to sit and write beneath the very beautiful and very green canopy of the old trees."
8764,mortar,"mortier, liant","She described the very great ideas as the bricks and the very precise language as the mortar."
8765,familiarly,"familièrement, intimement","She spoke very familiarly and very warmly about all the great writers she had known."
8766,frames,"cadres, encadre","She frames every very important and very complex argument with extraordinary clarity and great precision."
8767,wary,"prudent, méfiant, sur ses gardes","She was always very wary of any apparently very simple solution to a very complex problem."
8768,glorified,"glorifié, a glorifié, magnifié","She glorified the very most ordinary and the very most humble aspects of human experience."
8769,infected,"infecté, contaminé, a infecté","Her very extraordinary enthusiasm for literature had infectiously infected all those around her."
8770,apprentice,"apprenti, apprenant","She had been a very dedicated apprentice to the very finest literary tradition for many years."
8771,invade,"envahir, s'emparer de","She would never allow any very petty or very small distraction to invade her creative time."
8772,benefactor,"bienfaiteur, mécène","She had been the most generous and the most devoted literary benefactor of her entire era."
8773,inconceivable,"inconcevable, impossible à imaginer","She found it completely inconceivable that anyone could prefer the very mediocre to the very great."
8774,masterpiece,"chef-d'œuvre","She had very finally produced the absolute masterpiece that everyone had always known she was capable of."
8775,smelt,"fondit, a fondu, sentit","She smelt the very old and very beautiful smell of the ancient books with great delight."
8776,illumination,"illumination, éclairage, enluminure","She found the most wonderful illumination in all the very greatest and most beautiful old texts."
8777,purer,"plus pur, plus sincère","She always strived for the very purer and more essential truth in all her very best work."
8778,repairing,"réparant, restaurant","She spent many very patient hours very carefully repairing the most precious and fragile old manuscripts."
8779,humbled,"humilié, a humilié, rendu humble","She was very deeply humbled by the extraordinary warmth and the very great generosity of the response."
8780,fret,"s'inquiéter, s'agiter, frette","She tried very hard never to fret about the things she could not possibly control."
8781,raid,"raid, incursion, faire une descente","She had made a very exciting and very productive raid on all the very best old archives."
8782,muzzle,"museau, muselière, bâillonner","She refused to allow anyone to very effectively muzzle her very extraordinary and very important voice."
8783,canons,"canons, règles","She had always treated all the very established literary canons with great respect and great scepticism."
8784,leaden,"de plomb, lourd, plombé","She described the very leaden quality of all very dull and very lifeless literary prose."
8785,nook,"recoin, coin, retraite","She found the very most beautiful and the very most comfortable nook in the very old library."
8786,bony,"osseux, maigre, décharné","She described the very bony and the very gaunt figure of the very old and exhausted writer."
8787,oddly,"bizarrement, étrangement","She found herself very oddly and very completely moved by the very most unexpected old passage."
8788,loosed,"libéré, lâché, relâché","She had finally loosed all the very great creative energies that had been so long constrained."
8789,vapor,"vapeur, brume","She described the very beautiful vapor rising from the old river in the very cold morning."
8790,dissolve,"dissoudre, fondre, se dissiper","She watched all her very considerable creative anxiety slowly and very completely dissolve."
8791,clutching,"agrippant, serrant, cramponnant","She was very tightly clutching the most important and the most precious old manuscript."
8792,factions,"factions, groupes, clans","She had always refused to join any of the very petty and very destructive literary factions."
8793,extant,"existant, qui subsiste, conservé","She had read every single extant work by all the very greatest writers she admired."
8794,spied,"espionna, a aperçu, repéré","She very suddenly spied the very most extraordinary and completely unexpected old book on the shelf."
8795,thanking,"remerciant, en remerciant","She spent the very whole morning very warmly and very sincerely thanking all those who had helped."
8796,diversity,"diversité, variété","She celebrated the very great diversity of all literary tradition with extraordinary enthusiasm and knowledge."
8797,closest,"le plus proche, le plus intime","She confided her very deepest creative doubts only to her very closest and most trusted friends."
8798,mocked,"moqua, a ridiculisé, imité","She had been very publicly mocked but had continued working with extraordinary quiet dignity."
8799,stairway,"escalier, cage d'escalier","She stood very thoughtfully at the very top of the old stone stairway for a long time."
8800,unsatisfactory,"insatisfaisant, insuffisant","She rejected the very first draft as completely unsatisfactory and began again from the very beginning."
8801,pompous,"pompeux, prétentieux, guindé","She found all very pompous and very self-important critical writing completely and utterly insufferable."
8802,cooling,"refroidissement, refroidissant, se calmant","She felt her very initial creative excitement slowly cooling before it was replaced by deep calm."
8803,slate,"ardoise, table de cuisson, programme","She wiped the creative slate completely clean and began the most important project entirely afresh."
8804,wretchedness,"misère, malheur, détresse","She described all the very particular wretchedness of uncelebrated creative genius with great compassion."
8805,dissipated,"dissipé, gaspillé, a dispersé","She had nearly dissipated all her very extraordinary creative energy in too many small projects."
8806,partnership,"partenariat, association, collaboration","She had found in her very closest literary colleague the most perfect and productive creative partnership."
8807,dominated,"domina, a dominé","Her very extraordinary voice had completely dominated the literary landscape of her entire remarkable era."
8808,haul,"tirer, transport, prise","She described the very long haul of the creative process with great honesty and dark humour."
8809,mice,souris,"Several very small mice had made their very comfortable home in the very old stone walls."
8810,sagacious,"sagace, perspicace, avisé","She was considered the most sagacious and the most brilliantly perceptive critic of her whole generation."
8811,lessened,"diminua, a réduit, atténué","Her very great anxiety lessened very considerably once she had begun to write the difficult chapter."
8812,withhold,"retenir, garder, refuser","She would never withhold any very important truth however very uncomfortable it might be to state."
8813,blades,"lames, pales, brins","She described all her very most precise and most perfectly chosen words as very sharp blades."
8814,brace,"paire, attelle, accolade, renforcer","She had to very firmly brace herself before reading the very most difficult critical response."
8815,comprised,"comprenait, composé de, a constitué","Her very extraordinary body of work comprised some of the very finest literature of the era."
8816,recreation,"loisir, détente, distraction","She considered all very wide and very varied reading to be her very greatest form of recreation."
8817,repairs,"réparations, restaure","She very lovingly repairs all the very old and the very most precious books in her collection."
8818,cabbage,"chou, légume","She grew the most wonderful and very healthy cabbages in her very productive old kitchen garden."
8819,irons,"fers, repassoirs, fers à repasser","She had many very different creative irons in the fire at any one given time."
8820,pestilence,"peste, fléau, épidémie","She described the very worst of all critical fashions as a genuine literary pestilence."
8821,collective,"collectif, commun, collectivité","She believed very strongly in the very great power of collective and shared literary experience."
8822,inexorable,"inexorable, implacable, inévitable","She pursued the very very highest creative standards with an inexorable and quite extraordinary force."
8823,masterly,"magistral, de maître, remarquable","She produced the most masterly and most completely authoritative study of the very difficult subject."
8824,exports,"exportations, exporte","She exports her very extraordinary literary vision to all the very very farthest corners of the world."
8825,rite,"rite, rituel, cérémonie","She considered the very daily act of writing to be the most important and most sacred rite."
8826,splendidly,"magnifiquement, à merveille","She performed splendidly and very magnificently throughout the most difficult and most demanding public readings."
8827,ferocity,"férocité, violence, intensité","She attacked all very dishonest and very lazy literary thinking with extraordinary ferocity and precision."
8828,lambs,agneaux,"She loved to watch the very new lambs in the green fields behind the old cottage in spring."
8829,prefers,"préfère, aime mieux","She always prefers the very most honest and the very most direct approach to everything."
8830,supposes,"suppose, présume, imagine","She never supposes anything without having examined all the very most relevant and most important evidence."
8831,circumference,"circonférence, périmètre","She had a very wide and very extraordinary circumference of knowledge and very deep understanding."
8832,preposterous,"absurde, ridicule, grotesque","She found all very pompous and very self-important literary behaviour completely and utterly preposterous."
8833,girlish,"de jeune fille, juvénile","She retained a very girlish and very completely infectious enthusiasm for all new ideas throughout life."
8834,outrageous,"scandaleux, révoltant, choquant","She made the most outrageous and most completely unexpected creative choice and it was brilliant."
8835,sap,"sève, vigueur, affaiblir","She would never allow any very petty distraction to slowly sap her very extraordinary creative energy."
8836,superstitions,"superstitions, croyances irrationnelles","She had studied all the most ancient literary superstitions with great scholarly interest."
8837,salutary,"salutaire, bénéfique, utile","She always regarded even the very harshest honest criticism as a very salutary experience."
8838,savings,"économies, épargne","She had used all her very modest savings to purchase the most extraordinary and most rare old book."
8839,prolong,"prolonger, allonger, faire durer","She would never unnecessarily prolong any very important argument beyond what the evidence supported."
8840,combining,"combinant, associant, unissant","She was very brilliantly combining the very most different and most unexpected literary traditions."
8841,caress,"caresse, caresser","She brought a very wonderful caress of warmth and very great tenderness to every very difficult subject."
8842,lovingly,"amoureusement, tendrement, avec amour","She had very lovingly and very carefully preserved every single one of the most important old manuscripts."
8843,ills,"maux, problèmes, maladies","She wrote very powerfully about all the very greatest social and cultural ills of her remarkable era."
8844,pier,"jetée, pilier, pile de pont","She loved to walk to the very end of the old pier and think about her writing."
8845,strayed,"s'égara, a erré, dévié","She had very briefly strayed from her very main creative path but quickly found it again."
8846,scarcity,"rareté, pénurie","She wrote very movingly about the terrible creative scarcity that results from all forms of censorship."
8847,wilful,"délibéré, volontaire, entêté","She was wonderfully wilful in the very very best and most creative possible sense of the word."
8848,emerging,"émergent, qui surgit, qui se dégage","She was very rapidly emerging as the most important and most exciting new voice of her era."
8849,redoubled,"redoubla, a redoublé","She redoubled her very considerable efforts when the most important deadline suddenly moved much closer."
8850,insisting,"insistant, s'entêtant","She was very firmly and very clearly insisting on the absolute necessity of complete and total honesty."
8851,rally,"rassemblement, rallier, se reprendre","She made a very brave and very complete creative rally after the most difficult and discouraging period."
8852,stroked,"caressa, a tapé","She very lovingly stroked the beautiful old cover of the very precious and very rare old book."
8853,cement,"ciment, mortier, cimenter","She used the very most precise and most perfectly chosen language to cement her entire argument."
8854,turmoil,"agitation, tumulte, désordre","She remained very completely calm and very fully centred throughout the very greatest creative turmoil."
8855,privacy,"vie privée, intimité","She guarded her very extraordinary creative privacy with the most extraordinary care and determination."
8856,perusal,"lecture attentive, examen","She gave the very long manuscript a very careful and very thorough perusal before commenting."
8857,reversed,"renversa, a inversé, retourné","She very brilliantly reversed all the very most conventional expectations in the extraordinary new novel."
8858,crave,"désirer ardemment, avoir soif de","She always felt a very deep and very genuine creative craving for more knowledge and experience."
8859,unsettled,"perturbé, instable, agité","She felt very unsettled by the very unexpected and very surprising direction the work was taking."
8860,jerk,"secousse, saccade, secouer","She gave a very small jerk of recognition when she read the most extraordinary old passage."
8861,pallor,"pâleur, teint pâle","She noticed the very unmistakeable pallor of the most deeply exhausted and most overworked young writer."
8862,stealthily,"furtivement, subrepticement","She very stealthily and very carefully made her way through the very most complex argument."
8863,meditating,"méditant, réfléchissant","She sat very quietly meditating on the very most important and most significant aspects of the problem."
8864,span,"durée, envergure, enjamber","She covered an extraordinarily wide span of very different and very demanding creative territory."
8865,wintry,"hivernal, froid, glacial","She loved the very clean and very bracing quality of the most wintry and bleakest mornings."
8866,twinkle,"scintillement, étincelle, briller","She had a very warm twinkle in her very intelligent eyes when she told a very good story."
8867,localities,"localités, lieux, endroits","She had explored many very different and very extraordinary localities during her long creative life."
8868,imprudent,"imprudent, irréfléchi, téméraire","She was never imprudent in any creative decision however great the very exciting temptation."
8869,sarcasm,"sarcasme, ironie","She deployed the most brilliantly precise sarcasm against all very pompous and very pretentious criticism."
8870,gayly,"gaiement, joyeusement, allègrement","She gayly and very completely dismissed all very negative and very unproductive thoughts from her mind."
8871,attitudes,"attitudes, positions, postures","She described all the very different and very complex creative attitudes of her remarkable era."
8872,exploring,"explorant, en train d'explorer","She was always very eagerly exploring every very new and very unfamiliar creative territory."
8873,leaps,"bonds, sauts, fait des bonds","Her very extraordinary imagination always leaps to the most unexpected and most brilliantly vivid conclusion."
8874,tackle,"faire face, s'attaquer à, attirail","She would always very fearlessly tackle even the very most difficult and most demanding subjects."
8875,chemistry,"chimie, affinité","She described the very extraordinary creative chemistry between a very great writer and very devoted readers."
8876,infamy,"infamie, honte, ignominie","She wrote very powerfully about the very particular infamy of all deliberate creative dishonesty."
8877,dictate,"dicter, imposer, conditionner","She would never allow any very fashionable opinion to dictate the direction of her remarkable work."
8878,flute,"flûte","She had played the flute since her very earliest childhood and it informed all her very beautiful prose."
8879,augmented,"augmenta, a accru, renforcé","Her very considerable reputation was very greatly augmented by the extraordinary success of the new book."
8880,exiled,"exilé, banni, a exilé","She had been very creatively exiled by the most fashionable opinion but had triumphed completely."
8881,pervaded,"imprégna, a envahi","A very profound and very beautiful sense of quiet joy pervaded all her very finest writing."
8882,scout,"éclaireur, dénicher, reconnaître","She would very actively scout out every very new and very promising young literary talent."
8883,criticisms,"critiques, reproches","She listened very carefully to all the very most important and most helpful criticisms of her work."
8884,experimental,"expérimental, novateur","She had always embraced the very most experimental and the most daring of all creative approaches."
8885,petals,"pétales","She loved the very beautiful petals of the old roses that she kept on her writing desk."
8886,uniforms,uniformes,"She believed that very rigid literary uniforms were the enemies of all genuine creative thought."
8887,confines,"limites, frontières, restreint","She would never confine her very wide-ranging imagination within any very narrow or limiting boundaries."
8888,heedless,"insouciant, inattentif, inconscient","She was never heedless of the very great responsibilities that came with her remarkable creative gift."
8889,remonstrance,"remontrance, protestation","She listened very patiently to every very earnest and very heartfelt remonstrance before replying."
8890,crumbling,"s'effritant, qui s'effondre","She described the very slow crumbling of all the most very rigid and most limiting old conventions."
8891,swarming,"grouillant, fourmillant, essaimant","Her very fertile mind was very constantly swarming with the most extraordinary and exciting new ideas."
8892,feasts,"festins, fêtes, se régale","She feasts on every very new and very extraordinary book with extraordinary and very infectious enthusiasm."
8893,cheque,"chèque","She wrote the very generous cheque for the most important literary charity with very great pleasure."
8894,contradictory,"contradictoire, paradoxal","She found the very contradictory demands of public and private creative life very difficult to reconcile."
8895,indifferently,"indifféremment, de façon médiocre","She could never produce anything merely indifferently when the very extraordinary was clearly possible."
8896,outlined,"esquissé, a tracé, décrit à grands traits","She very carefully outlined the entire very complex structure before beginning to write a single word."
8897,conveniently,"commodément, opportunément","She had very conveniently arranged all her most important work into very clear and very ordered sections."
8898,exaltation,"exaltation, enthousiasme, transport","She felt a very deep and very genuine exaltation when the most difficult work was finally completed."
8899,gowns,"robes, tenues","She wore the very most simple and the very most elegant gowns to all very formal occasions."
8900,tragedies,"tragédies, drames","She had experienced many very great personal tragedies but had drawn on them all most powerfully."
8901,vocabulary,"vocabulaire, lexique","She had the most extraordinarily rich and the most brilliantly precise vocabulary of her whole generation."
8902,swine,"porcs, cochons, individus méprisables","She described the most aggressive and most contemptible critics as nothing but very literary swine."
8903,shuddering,"frissonnant, frémissant","She was shuddering with very cold and very genuine creative excitement as she wrote the final page."
8904,unhappily,"malheureusement, malheureux","She found herself very unhappily unable to finish the most important chapter before the deadline."
8905,digits,"chiffres, doigts","She counted on her very own digits all the many very extraordinary blessings of her creative life."
8906,greed,"avidité, cupidité, voracité","She described all the very greatest creative greed for new knowledge as a very wonderful quality."
8907,tremor,"tremblement, frémissement","She felt a very small but very distinct tremor of the most extraordinary creative excitement."
8908,nave,nef,"She loved to walk very slowly down the very long and very beautiful nave of the ancient cathedral."
8909,clamour,"clameur, vacarme, réclamer","She remained very completely serene above all the very considerable clamour of very hostile criticism."
8910,infants,"nourrissons, bébés","She wrote very beautifully about the very earliest and most tender experiences of all very young infants."
8911,forenoon,"avant-midi, matinée (archaïque)","She did all her very most important and very most difficult creative work during the forenoon."
8912,onion,oignon,"She grew the most wonderfully flavoured onions in her very productive and very carefully tended old garden."
8913,pitiless,"impitoyable, sans pitié, cruel","She was absolutely pitiless in her very careful elimination of every superfluous word from the text."
8914,worrying,"inquiétant, préoccupant, s'inquiétant","She found the very widespread decline in serious and careful reading genuinely and deeply worrying."
8915,gayety,"gaieté, enjouement, allégresse","She brought a very wonderful gayety and very great warmth to every single gathering she attended."
8916,congratulations,"félicitations","She received very warm and very genuine congratulations from all the most distinguished literary colleagues."
8917,disabled,"handicapé, désactivé, a rendu inutile","She wrote with very great compassion and very considerable insight about all disabled writers."
8918,enchanting,"enchanteur, charmant, ravissant","She had a truly enchanting way of bringing the very driest old subject completely to life."
8919,thicker,"plus épais, plus dense","The very old plot grew considerably thicker and very much more complex as the novel progressed."
8920,warmest,"le plus chaleureux, le plus chaud","She received the very warmest and the most genuinely moving welcome she had ever experienced."
8921,examinations,"examens, études, analyses","She had passed all her very most important academic examinations with the very highest possible distinction."
8922,sages,"sages, philosophes, sages personnes","She had read all the very greatest sages of every very different and very remarkable tradition."
8923,amber,"ambre, de couleur ambre","She loved the very beautiful amber light of the old lamp on her very old writing desk."
8924,stiffly,"rigidement, avec raideur","She moved very stiffly after the long creative effort but felt a very deep satisfaction."
8925,oratory,"éloquence, art oratoire, oratoire","She had a very remarkable gift for oratory that made her the most inspiring of public speakers."
8926,everyday,"quotidien, de tous les jours, banal","She found the very extraordinary hidden within every apparently very ordinary everyday experience."
8927,rocking,"berçant, oscillant, qui berce","She found the very gentle rocking of the old chair very deeply and very creatively soothing."
8928,tarry,"attarder, s'attarder, goudronneux (archaïque)","She would not tarry very long when there was so very much important creative work to be done."
8929,grate,"grille, râpe, grincer, irriter","She sat beside the old grate and watched the very warm and very cheerful fire burning."
8930,inexperienced,"inexpérimenté, novice, sans expérience","She was extraordinarily patient and very kind with even the very most inexperienced young writers."
8931,impassioned,"passionné, véhément, ardent","She gave the most extraordinarily impassioned and most completely convincing defence of literary freedom."
8932,clapping,"applaudissant, battant des mains","The entire very large audience was very enthusiastically clapping at the end of the brilliant reading."
8933,gallows,"gibet, potence, humour noir","She described the most extraordinary gallows humour of all the very finest literary black comedy."
8934,practising,"pratiquant, s'entraînant, exerçant","She had been very carefully practising and very greatly perfecting her craft for many long years."
8935,oranges,oranges,"She always kept a beautiful bowl of very fresh and very bright oranges on her writing desk."
8936,sarcastic,"sarcastique, mordant, ironique","She had a very brilliantly sarcastic wit that she deployed with extraordinary precision and great care."
8937,fasting,"jeûnant, jeûne","She described periods of creative drought as a very necessary and very purifying form of fasting."
8938,polish,"poli, lustre, polir, raffiner","She worked very hard to polish every single sentence until it gleamed with perfect clarity."
8939,sensuous,"sensuel, des sens","She had a very sensuous and very extraordinarily beautiful response to all the finest old language."
8940,automatic,"automatique, mécanique, instinctif","She would never allow her writing to become merely automatic or routinely mechanical."
8941,hollows,"creux, cavités, vallons","She described all the very beautiful and very mysterious hollows in the ancient and remarkable landscape."
8942,geological,"géologique, de géologie","She had a very fascinating and very detailed interest in all geological and natural history."
8943,divides,"divise, sépare, partage","She very clearly and very precisely divides the very most important from the very least significant."
8944,unwelcome,"importun, malvenu, indésirable","She received some very unwelcome but ultimately very salutary creative criticism from her trusted colleague."
8945,priesthood,"sacerdoce, clergé","She considered all the very greatest and most devoted writers to form a very sacred literary priesthood."
8946,foretold,"prédit, a prévu, annoncé","She had very clearly foretold the extraordinary direction that her very most remarkable generation would take."
8947,kindest,"le plus aimable, le plus généreux","She always found the very kindest and most encouraging way to make even the very hardest point."
8948,overseer,"surveillant, contremaître","She acted as the most extraordinarily careful and dedicated overseer of all her very best work."
8949,capitals,"capitales, majuscules, capitaux","She had visited many very great literary capitals during her very long and remarkable creative life."
8950,resounded,"résonna, a retenti","Her very extraordinary and most powerful voice resounded throughout the entire literary world of her era."
8951,liberally,"libéralement, généreusement","She always gave very liberally of her very considerable time to all who sought her advice."
8952,quotes,"citations, cite","She very carefully and very selectively quotes only the very most relevant and illuminating passages."
8953,conclusive,"concluant, décisif","She always provided the most conclusive and the most completely convincing evidence for every important claim."
8954,chimneys,"cheminées","She loved to watch the very beautiful old chimneys smoking in the early morning winter air."
8955,murders,"meurtres, tue, sabote","She writes about all the murders of literary truth with an extraordinary passion and very great anger."
8956,effectively,"efficacement, de façon effective","She very effectively and very brilliantly demolished the entire very elaborate critical argument."
8957,unnoticed,"inaperçu, non remarqué","She had remained very deliberately unnoticed for many years while producing her most extraordinary work."
8958,wrap,"envelopper, s'enrouler, emballage","She tried to wrap all her very most complex and difficult ideas in the clearest possible language."
8959,anxieties,"anxiétés, inquiétudes, soucis","She described all the very particular anxieties of the creative life with great honesty and humour."
8960,consumer,"consommateur, usager","She always thought of each very individual reader as something far more than a mere consumer."
8961,blinding,"aveuglant, éblouissant, qui aveugle","She received a very blinding and completely overwhelming flash of the most extraordinary creative inspiration."
8962,curl,"boucle, se recroqueviller, s'enrouler","She loved to curl up in her very favourite and most comfortable old chair with a book."
8963,diseased,"malade, malsain, gangrené","She described the most diseased and most corrupt aspects of literary culture with great directness."
8964,classed,"classé, catégorisé, rangé","She was always very classed among the very very greatest writers of her remarkable generation."
8965,monkeys,singes,"She described all the most imitative and least original critics as nothing but very literary monkeys."
8966,naming,"nommant, en nommant, appellation","She had a very extraordinary gift for very precisely naming even the most apparently nameless experience."
8967,traitors,"traîtres","She considered all those who betrayed literary truth to be the very worst of all creative traitors."
8968,filial,"filial, de fils ou de fille","She felt a very deep and very genuine filial affection for all the writers who had inspired her."
8969,succour,"secours, aide, secourir","She would always very generously offer succour and very warm support to any struggling writer."
8970,thigh,cuisse,"She found the most extraordinary old manuscript tucked into the very back of the very old thigh pocket."
8971,destroys,"détruit, anéantit","She destroys all the very most superfluous and the very most unnecessary words with great precision."
8972,desertion,"désertion, abandon, trahison","She described the very terrible sense of desertion felt by all very long-neglected literary genius."
8973,entreaty,"supplication, prière instante, imploration","She listened very patiently to every very sincere and very heartfelt entreaty before responding."
8974,leafy,"feuillé, boisé, vert","She loved the very beautiful and very cool shade of the leafy old avenue in summer."
8975,walled,"entouré de murs, cloisonné","She did her very best and most important creative work in the very quiet walled garden."
8976,jug,"cruche, pichet","She filled the very old and very beautiful old jug with very fresh and very cold water."
8977,pricked,"piqua, a piqué, pointu","She pricked up her very sensitive ears when she heard the extraordinary new and exciting idea."
8978,wand,"baguette magique, baton","She described her very extraordinary pen as the most powerful and most remarkable creative wand."
8979,carpets,"tapis, moquettes","She had covered all the floors of her very beautiful writing room with wonderful old Persian carpets."
8980,invaluable,"inestimable, précieux","She had received the most invaluable and the most completely transformative creative advice from her mentor."
8981,threatens,"menace, fait peser une menace","She very clearly threatens to leave the very fashionable literary world behind for good."
8982,boisterous,"turbulent, bruyant, agité","She remained very calm and completely composed throughout the most boisterous and heated critical debate."
8983,receiver,"receveur, récepteur, destinataire","She was considered the most devoted and most attentive receiver of all the finest old literary traditions."
8984,revelations,"révélations, découvertes","She had made several very extraordinary and very completely unexpected revelations in her most recent work."
8985,ritual,"rituel, rite, cérémoniel","She described the very beautiful and very necessary ritual of her daily and very disciplined writing."
8986,beauteous,"beau, magnifique (archaïque)","She described the very beauteous quality of the very finest and most perfectly crafted old prose."
8987,curb,"frein, bord du trottoir, maîtriser","She had learned to very carefully curb her very greatest and most excessive creative enthusiasms."
8988,standpoint,"point de vue, perspective","She always examined every very complex question from the very widest possible creative standpoint."
8989,bends,"courbes, virages, se penche, se courbe","She bends all the very most conventional rules of literary form to her extraordinary creative will."
8990,horrified,"horrifié, a horrifié","She was very deeply horrified by all the very deliberate and very callous destruction of books."
8991,deputation,"délégation, députation","She received a very formal and very distinguished deputation from the most important literary body."
8992,openings,"ouvertures, débuts, perspectives","She was extraordinarily gifted in the very difficult art of writing the most powerful creative openings."
8993,ardently,"ardemment, passionnément","She ardently and very passionately believed in the absolute necessity of all creative freedom."
8994,conjectures,"conjectures, suppositions","She never relied on mere conjectures but always based every argument on very solid evidence."
8995,imports,"importations, importe","She very carefully examines whatever she imports from other literary traditions to ensure quality."
8996,rabble,"populace, canaille, racaille","She described all the very noisiest and very least thoughtful critics as a mere literary rabble."
8997,beak,"bec, magistrat","She described her very precise and very perfectly chosen words as the very sharpest of all beaks."
8998,degrading,"dégradant, avilissant, déclassant","She found the very cynical exploitation of any creative talent to be completely and utterly degrading."
8999,imaginable,"imaginable, concevable","She had encountered every imaginable kind of creative difficulty and had overcome them all magnificently."
9000,weaken,"affaiblir, s'affaiblir","She would never allow any very harsh criticism to weaken her very deep and justified confidence."
9001,misled,"induit en erreur, trompé","She had been very badly misled by the most apparently authoritative and most trusted source."
9002,brake,"frein, taillis, freiner","She had to very carefully brake her very extraordinary creative enthusiasm at the most critical moment."
9003,hurts,"blesse, fait mal, nuit","Nothing hurts her very deep creative confidence more than very deliberate and very dishonest criticism."
9004,adhered,"adhéra, s'est tenu à, s'est collé","She very firmly adhered to all the very most important principles of her remarkable creative life."
9005,beamed,"rayonna, sourit largement","She very warmly beamed with very genuine and very complete pride at the most extraordinary occasion."
9006,kindle,"allumer, enflammer, éveiller","She had an extraordinary ability to kindle a very deep love of literature in all her students."
9007,attainment,"réalisation, acquisition, niveau atteint","She considered the very highest attainment of creative excellence to be her very greatest goal."
9008,uncouth,"grossier, rustre, maladroit","She found any uncouth or very careless treatment of the very finest old books deeply offensive."
9009,converts,"convertit, convertis, transforme","Her very extraordinary writing converts even the most sceptical reader to the cause of literature."
9010,grind,"broyer, moudre, corvée","She described the very daily grind of the most disciplined creative life with great dark humour."
9011,swarmed,"fourmilla, a grouillé","The very old library swarmed with the most enthusiastic and most devoted young readers."
9012,delays,"retards, délais, retarde","She never allows any very unnecessary delays to interrupt the very important flow of creative work."
9013,foolishly,"bêtement, sottement","She had very foolishly attempted to ignore the very most important and most revealing creative detail."
9014,silks,"soies, tissus de soie","She wore only the very simplest and the very most beautiful old silks on very formal occasions."
9015,variable,"variable, changeant, aléatoire","She found the very variable quality of all very fashionable criticism both tiresome and amusing."
9016,archives,"archives, fonds documentaires","She had spent many very long and very productive years working in the most extraordinary old archives."
9017,easiest,"le plus facile, le plus aisé","She always found that the very easiest path was never the very most rewarding one."
9018,blacksmith,forgeron,"She described the very greatest writers as the most extraordinary and most powerful literary blacksmiths."
9019,clash,"conflit, choc, se heurter","She had a very creative clash of ideas with her most distinguished and most respected colleague."
9020,countryman,"compatriote, campagnard","She always felt a very deep and very warm connection with every very fellow countryman she met."
9021,jelly,"gelée, confiture, gélatine","She made the most wonderful and most beautiful old rose jelly from flowers in her very old garden."
9022,salutation,"salutation, salut, accueil","She received the most extraordinarily warm and very genuine salutation from all her very devoted readers."
9023,routed,"mis en déroute, a vaincu","She had very completely routed all the very most hostile critics with her extraordinary new work."
9024,chatting,"bavardant, discutant","She loved chatting about books and ideas with anyone who shared her very extraordinary passion."
9025,muster,"rassemblement, appel, rassembler","She had to muster all her very considerable resources before tackling the most difficult old subject."
9026,commencing,"commençant, débutant","She was very carefully commencing the most ambitious and most exciting project of her whole career."
9027,listener,"auditeur, personne qui écoute","She was considered the very most thoughtful and most extraordinarily attentive listener in all literary circles."
9028,sooth,"vérité, apaisement (archaïque)","She always sought the very sooth of any matter however very difficult it might be to find."
9029,explicit,"explicite, clair, précis","She was always very explicit and very completely clear about all her most important creative intentions."
9030,descriptive,"descriptif, évocateur","She had an extraordinarily rich and very precise descriptive gift that illuminated every subject."
9031,spells,"sorts, charmes, périodes, orthographie","She casts the most extraordinary creative spells over all her very many devoted readers."
9032,yore,"jadis, autrefois, temps passé (archaïque)","She loved all the very ancient literary traditions of days of very old yore."
9033,blinds,"stores, aveugle, éblouit","She never blinds herself to any very uncomfortable truth however very difficult it might be to face."
9034,legacy,"héritage, legs, patrimoine","She left an extraordinary and very completely enduring literary legacy to all her remarkable generation."
9035,pitying,"compatissant, apitoyé, qui a pitié","She had a very warm and very genuine pitying concern for all struggling and uncelebrated writers."
9036,relieving,"soulageant, allégeant, relevant","She found that very long walks were the very best means of relieving all creative tension."
9037,victuals,"victuailles, provisions, nourriture","She kept very good victuals in the house so she could write without unnecessary interruption."
9038,proffered,"offrit, a présenté, tendu","She very graciously accepted the very warm hand that was most cordially and sincerely proffered."
